辽宁移动直播测试（支持回看与时移）,#genre#
山东卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226138/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226887/index.m3u8
山西卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226137/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226778/index.m3u8
陕西卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226892/index.m3u8
深圳卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226152/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226807/index.m3u8
四川卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226139/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226810/index.m3u8
天津卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226135/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226890/index.m3u8
西藏卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226896/index.m3u8
新疆卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226151/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226893/index.m3u8
延边卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227047/index.m3u8
云南卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226148/index.m3u8
浙江卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226147/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226854/index.m3u8
重庆卫视标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226169/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226868/index.m3u8
优漫卡通标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226149/index.m3u8
卡酷少儿标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226157/index.m3u8
金鹰卡通标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226158/index.m3u8
